Date generated,SKU,MFR,BH-Code,Name,BH Special Price,BH Price,BH Type of Sell,BH Price Rebate,BH Date Rebate,EA Special Price,EA Price,EA Price Rebate,EA Date Rebate,Type of sell to upload,Special Price to Upload,Price To Upload,Rebate to Upload,Date Rebate to Upload
Apr 11 2013 09:16:13,'018208254804,'25480,'NID800-REG,"""Nikon D800 Digital SLR Camera (Body Only)""",2796.95,2996.95,rebate,200.0,2013-04-27,,2786.95,,,normal,,2786.95,,,Photography,DSLR Cameras,Nikon D800
Apr 11 2013 09:16:22,'018208254880,'25488,'NID600-REG,"""Nikon D600 Digital Camera (Body Only)""",1996.95,2096.95,rebate,100.0,2013-04-27,,1986.95,,,normal,,1986.95,,,Photography,DSLR Cameras,Nikon D600
Apr 11 2013 09:16:28,'018208919567,'25472,'NID31001855-REG,"""Nikon D3100 Digital SLR Camera with 18-55mm NIKKOR VR Lens""",446.95,546.95,rebate,100.0,2013-04-27,,436.95,,,normal,,436.95,,,Photography,DSLR Cameras,Nikon D3100
Apr 11 2013 09:16:48,'018208918379,'25468,'NID7000-REG,"""Nikon D7000 SLR Digital Camera (Body Only)""",896.95,996.95,rebate,100.0,2013-04-27,,886.95,,,normal,,886.95,,,Photography,DSLR Cameras,Nikon D7000
Apr 11 2013 09:16:50,'018208254781,'25478,'NID51001855-REG,"""Nikon D5100 Digital SLR Camera With 18-55mm f/3.5-5.6G VR Lens""",596.95,696.95,rebate,100.0,2013-04-27,,586.95,,,normal,,586.95,,,Photography,DSLR Cameras,Nikon D5100
Apr 11 2013 09:16:52,'018208254927,'25492,'NID32001855-REG,"""Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 1:3.5-5.6G VR Lens (Black)""",596.95,696.95,rebate,100.0,2013-04-27,,586.95,,,normal,,586.95,,,Photography,DSLR Cameras,Nikon D3200
Apr 11 2013 09:16:59,'018208254989,'25498,'NID800E-REG,"""Nikon D800E Digital SLR Camera (Body Only)""",3296.95,3296.95,normal,,,,3286.95,,,normal,,3286.95,,,Photography,DSLR Cameras,Nikon D800E
Apr 11 2013 09:17:20,'018208254804,'25480,'NID800VK-REG,"""Nikon D800 Digital SLR Camera Video Kit""",2796.95,2996.95,rebate,200.0,2013-04-27,,2786.95,,,normal,,2786.95,,,Photography,DSLR Cameras,Nikon D800
Apr 11 2013 09:17:25,'018208919673,'25474,'NID700018105-REG,"""Nikon D7000 DSLR Camera Kit with Nikon 18-105mm DX VR Lens""",1196.95,1296.95,rebate,100.0,2013-04-27,,1186.95,,,normal,,1186.95,,,Photography,DSLR Cameras,Nikon D7000
Apr 11 2013 09:17:53,'018208254767,'25476,'NID5100-REG,"""Nikon D5100 Digital SLR Camera (Body Only)""",496.95,596.95,rebate,100.0,2013-04-27,,486.95,,,normal,,486.95,,,Photography,DSLR Cameras,Nikon D5100
Apr 11 2013 09:18:21,'018208254965,'25496,'NID32001855R-REG,"""Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 1:3.5-5.6G VR Lens (Red)""",596.95,696.95,rebate,100.0,2013-04-27,,586.95,,,normal,,586.95,,,Photography,DSLR Cameras,Nikon D3200
Apr 11 2013 09:19:14,' 018208131877,'13187,'NID6002485-REG,"""Nikon D600 Digital Camera with 24-85mm f/3.5-4.5G ED VR Lens""",2496.95,2696.95,rebate,200.0,2013-04-27,,2486.95,,,normal,,2486.95,,,Photography,DSLR Cameras,Nikon D600
Apr 11 2013 09:20:07,'018208275458,'27547,'NI1J11030W-REG,"""Nikon 1 J1 Mirrorless Digital Camera with 10-30mm / 30-110mm Lens (White)""",496.95,746.95,rebate,250.0,2013-04-27,,486.95,,,normal,,486.95,,,Photography,Mirrorless System Cameras,Nikon 1 J1
Apr 11 2013 09:20:37,'018208254644,'25464,'NID300S-REG,"""Nikon D300s SLR Digital Camera (Body Only)""",1696.95,1696.95,normal,,,,1686.95,,,normal,,1686.95,,,Photography,DSLR Cameras,Nikon D300s
Apr 11 2013 09:23:12,'018208915705,'25446,'NID90-REG,"""Nikon D90 SLR Digital Camera (Body Only)""",782.99,782.99,normal,,,,772.99,,,normal,,772.99,,,Photography,DSLR Cameras,Nikon D90
Apr 11 2013 09:29:48,'018208914425,'25442,'NID3X-REG,"""Nikon D3x SLR Digital Camera (Body Only)""",6699.0,6699.0,normal,,,,6689.0,,,normal,,6689.0,,,Photography,DSLR Cameras,Nikon D3x
