Date generated,MFR,BH-Code,Name,BH Special Price,BH Price,BH Type of Sell,BH Rebate,BH Date End Rebate,Magento Current Special,Magento Current Price,Magento Rebate,Magento Date End Rebate,Type of sell to upload,Price To Upload,Special to Upload,Upload Rebate,Upload Date End Rebate,,,
Apr 05 2013 16:43:12,'1257B002,'CA5012LEF-USA,"""Canon Normal EF 50mm f/1.2L USM Autofocus Lens""",1399,1619,incar,,,1537,1619,,,incar,1399,1619,,,Photography,SLR Lenses,Canon 1257B002
Apr 05 2013 16:44:31,'310-101,'SI5014C-USA,"""Sigma Normal 50mm f/1.4 EX DG HSM Autofocus Lens for Canon SLR""",449,499,rebate,50,6/30/2013,449,499,,2/28/2013,rebate,449,499,50,6/30/2013,Photography,SLR Lenses,Sigma 310-101
Apr 05 2013 16:44:43,'589101,'SI7020028CQ-REG,"""Sigma 70-200mm f/2.8 EX DG APO OS HSM for Canon""",1249,1399,rebate,150,6/30/2013,1249,1399,,2/28/2013,rebate,1249,1399,150,6/30/2013,Photography,SLR Lenses,Sigma 589101
Apr 05 2013 16:44:52,'737306,'SI150500N-REG,"""Sigma 150-500mm f/5-6.3 DG OS HSM APO Autofocus Lens for Nikon AF""",1019,1069,rebate,50,6/30/2013,1019,1069,,2/28/2013,rebate,1019,1069,50,6/30/2013,Photography,SLR Lenses,Sigma 737306
Apr 05 2013 16:44:53,'571101,'SI247028C-REG,"""Sigma 24-70mm f/2.8 IF EX DG HSM Autofocus Lens for Canon EOS""",824,899,rebate,75,6/30/2013,824,899,,2/28/2013,rebate,824,899,75,6/30/2013,Photography,SLR Lenses,Sigma 571101
Apr 05 2013 16:45:06,'737101,'SI150500C-REG,"""Sigma 150-500mm f/5-6.3 DG OS HSM APO Autofocus Lens for Canon EOS""",1019,1069,rebate,50,6/30/2013,1019,1069,,2/28/2013,rebate,1019,1069,50,6/30/2013,Photography,SLR Lenses,Sigma 737101
Apr 05 2013 16:45:16,'589306,'SI7020028NI-REG,"""Sigma 70-200mm f/2.8 EX DG APO OS HSM for Nikon""",1249,1399,rebate,150,6/30/2013,1249,1399,,2/28/2013,rebate,1249,1399,150,6/30/2013,Photography,SLR Lenses,Sigma 589306
Apr 05 2013 16:45:36,'320101,'SI8514C-USA,"""Sigma 85mm f/1.4 EX DG HSM Lens For Canon EOS Digital SLR Cameras""",894,969,rebate,75,6/30/2013,894,969,,2/28/2013,rebate,894,969,75,6/30/2013,Photography,SLR Lenses,Sigma 320101
Apr 05 2013 16:45:43,'202101,'SI102035C-REG,"""Sigma 10-20mm f/3.5 EX DC HSM Autofocus Zoom Lens For Canon Cameras""",599,649,rebate,50,6/30/2013,599,649,,2/28/2013,rebate,599,649,50,6/30/2013,Photography,SLR Lenses,Sigma 202101
Apr 05 2013 16:46:19,'571306,'SI247028NF-REG,"""Sigma 24-70mm f/2.8 IF EX DG HSM Autofocus Lens for Nikon AF""",824,899,rebate,75,6/30/2013,824,899,,2/28/2013,rebate,824,899,75,6/30/2013,Photography,SLR Lenses,Sigma 571306
Apr 05 2013 16:46:33,'203101,'SI8164556CA-REG,"""Sigma 8-16mm f/4.5-5.6 DC HSM Ultra-Wide Zoom Lens for Select Canon EOS SLRs""",649,699,rebate,50,6/30/2013,649,699,,2/28/2013,rebate,649,699,50,6/30/2013,Photography,SLR Lenses,Sigma 203101
Apr 05 2013 16:47:05,'572101,'SI7030045C-USA,"""Sigma 70-300mm f/4-5.6 DG OS Lens for Canon Digital Cameras""",309,359,rebate,50,6/30/2013,309,359,,2/28/2013,rebate,309,359,50,6/30/2013,Photography,SLR Lenses,Sigma 572101
Apr 05 2013 16:47:06,'310-306,'SI5014N-USA,"""Sigma Normal 50mm f/1.4 EX DG HSM Autofocus Lens for Nikon AF""",449,499,rebate,50,6/30/2013,449,499,,2/28/2013,rebate,449,499,50,6/30/2013,Photography,SLR Lenses,Sigma 310-306
Apr 05 2013 16:47:51,'320306,'SI8514N-USA,"""Sigma 85mm f/1.4 EX DG HSM Lens For Nikon Digital SLR Cameras""",894,969,rebate,75,6/30/2013,894,969,,2/28/2013,rebate,894,969,75,6/30/2013,Photography,SLR Lenses,Sigma 320306
Apr 05 2013 16:48:16,'202306,'SI102035SN-REG,"""Sigma 10-20mm f/3.5 EX DC HSM Autofocus Zoom Lens For Nikon Cameras""",599,649,rebate,50,6/30/2013,599,649,,2/28/2013,rebate,599,649,50,6/30/2013,Photography,SLR Lenses,Sigma 202306
Apr 05 2013 16:48:25,'203306,'SI8164556NI-REG,"""Sigma 8-16mm f/4.5-5.6 DC HSM Ultra-Wide Zoom Lens for Select Nikon DSLRs""",649,699,rebate,50,6/30/2013,649,699,,2/28/2013,rebate,649,699,50,6/30/2013,Photography,SLR Lenses,Sigma 203306
Apr 05 2013 16:52:04,'258101,'SI10528MDGCE-REG,"""Sigma 105mm f/2.8 EX DG OS HSM Macro Lens for Canon EOS Cameras""",769,969,rebate,200,6/30/2013,769,969,,2/28/2013,rebate,769,969,200,6/30/2013,Photography,SLR Lenses,Sigma 258101
Apr 05 2013 16:52:16,'509205,'SI703004MAF-REG,"""Sigma 70-300mm f/4-5.6 DG Macro Lens for Sony and Minolta Cameras""",144,169,rebate,25,6/30/2013,144,169,,2/28/2013,rebate,144,169,25,6/30/2013,Photography,SLR Lenses,Sigma 509205
Apr 05 2013 16:58:37,'486-101,'SI4528EXDCC-USA,"""Sigma 4.5mm f/2.8 EX DC HSM Lens for Canon Digital SLR""",799,899,rebate,100,6/30/2013,799,899,,2/28/2013,rebate,799,899,100,6/30/2013,Photography,SLR Lenses,Sigma 486-101
Apr 05 2013 16:58:47,'572205,'SI7030045SM-USA,"""Sigma 70-300mm f/4-5.6 DG OS Lens for Sony Alpha & Minolta Digital Cameras""",309,359,rebate,50,6/30/2013,309,359,,2/28/2013,rebate,309,359,50,6/30/2013,Photography,SLR Lenses,Sigma 572205
